,first,second,third
278,"['5c', 'Kc', '9s', 'Qd', '8c']",[],[]
279,"['8h', 'Td', 'Qd']",[],[]
280,"['Td', 'Jc', 'Ah']",[],[]
281,[],[],[]
282,"['7s', '4c', '3s', 'Ad']",[],[]
283,"['9d', 'Ks', 'Jh', '8c', 'Th']",[],[]
284,"['8d', 'As', '2c', '4s', '8c']",[],[]
285,"['6d', '8s', '8h', 'Tc', '8c']",[],[]
286,"['5c', 'Ks', 'Js']",[],[]
287,"['Qd', '5c', '8d', 'Js', '2h']",[],[]
288,"['7s', 'Jh', 'Qd', '2s', 'Js']",[],[]
289,"['5h', 'Ts', '9s', '3d', '4s']",[],[]
290,"['7s', 'Kd', '4d']",[],[]
291,"['5h', '7c', '6c', 'Js']",[],[]
292,"['9d', 'Qc', '4c', '5s']",[],[]
293,[],[],[]
294,[],[],[]
295,"['Kc', '3d', '5d', '7c']",[],[]
296,[],[],[]
297,"['8d', '6h', '2s']",[],[]
298,[],[],[]
299,"['9s', '6d', 'Td']",[],[]
300,[],[],[]
301,[],[],[]
302,[],[],[]
303,[],[],[]
304,"['7d', '2d', '7c']",[],[]
305,"['Tc', '7h', '3c', 'Qd']",[],[]
306,"['4d', '7c', 'Qh', '8d']",[],[]
307,"['7s', '9s', 'Js', 'Qd', 'Jd']",[],[]
308,"['4d', 'Th', '4h', 'Qh', '5c']",[],[]
309,[],[],[]
310,"['As', '4c', '7h', '2d', 'Td']","['Ks', 'Th']",[]
311,"['8c', 'Kc', '7h', 'Js', '8d']",[],[]
312,"['Ts', '6s', 'Js', 'Ad', '5s']",[],[]
313,[],[],[]
314,"['Jh', 'Qd', 'Ad']",[],[]
315,"['3s', 'Ac', '9c', 'Qs', '5d']",[],[]
316,[],[],[]
317,[],[],[]
318,[],[],[]
319,[],[],[]
320,"['Js', 'As', '2c']",[],[]
321,[],[],[]
322,[],[],[]
323,"['5s', '3s', '3d', '9h', '5c']",[],[]
324,"['5s', 'Th', '9s', 'Jd']",[],[]
325,[],[],[]
326,[],[],[]
327,[],[],[]
328,[],[],[]
329,"['Tc', 'Jh', '4h', 'Kh', 'Kd']",[],[]
330,[],[],[]
331,"['Ah', '3d', '4h', '7d']",[],[]
332,"['Qd', '3h', '4h', '3d']",[],[]
333,"['As', '3s', '3d', '6c', 'Kc']",[],[]
334,[],[],[]
335,"['Jd', '3d', 'Ks']",[],[]
336,[],[],[]
337,"['Kd', '3c', 'Jd', 'Td', '4d']",[],[]
338,"['Qd', '9d', '8d', 'As', '4d']",[],[]
339,[],[],[]
340,"['Js', 'Tc', '3d']",[],[]
341,[],[],[]
342,[],[],[]
343,[],[],[]
344,"['6d', '5h', 'Ac']",[],[]
345,[],[],[]
346,"['Jc', '9h', '5c', 'Td', '3c']",[],[]
347,[],[],[]
348,[],[],[]
349,"['6h', '5d', 'Js', '5c']",[],[]
350,"['8d', 'Tc', '7c', 'Kh', '4s']",[],[]
351,"['5h', '6d', 'Kd', '6s', '2d']",[],[]
352,"['9s', '3s', '2c']",[],[]
353,"['Ks', '7s', '8h', '5h', 'Js']",[],[]
354,[],[],[]
355,"['8h', 'Qd', '2d', 'Ah']",[],[]
356,"['Th', 'Qc', '4c', '3d', 'Ac']",[],[]
357,"['2s', '9h', 'Qs', '9d', '8s']",[],[]
358,"['6d', '9h', 'Jh']",[],[]
359,[],[],[]
360,"['4c', 'Ac', '7c', '5c', '8c']",[],[]
361,[],[],[]
362,[],[],[]
363,"['2d', '8h', '5c', '3d', '4c']",[],[]
364,"['8s', 'Jh', 'Ks', 'Jd', '4h']",[],[]
365,"['9c', '7d', '2h', 'Jc', '3d']",[],[]
366,"['8s', '3c', '6c', '6s', '3h']",[],[]
367,"['5c', '2h', '8s']",[],[]
368,"['2h', '3s', '9d', '8s', 'Qd']",[],[]
369,"['5d', '7h', '6c', 'Qc', '4s']",[],[]
370,[],[],[]
371,"['2c', 'Qc', 'Ac', 'Qh', 'Tc']",[],[]
372,[],[],[]
373,[],[],[]
374,[],[],[]
375,[],[],[]
376,[],[],[]
377,"['8d', '8c', '6h', '6c']",[],[]
378,"['7h', '9c', 'Td', '5d', '9h']",[],[]
379,"['Ad', 'Tc', '9d', 'Js', '6d']",[],[]
380,[],[],[]
381,[],[],[]
382,"['Ks', '4c', '8h', '6d']",[],[]
383,"['3s', 'Js', '7h', 'As', '9c']",[],[]
384,"['9h', 'Jh', '6c', '3c', 'Jc']",[],[]
385,"['4d', '5s', '3c', 'Ts', 'Td']",[],[]
386,[],[],[]
387,"['2c', '4h', '8h']",[],[]
388,"['Qs', 'Ad', '4s', 'Th', 'Js']",[],[]
389,"['7c', '5h', 'Kd']",[],[]
390,"['Kc', '2d', '3s']",[],[]
391,"['9s', '3h', '8c', 'Ac', '6d']",[],[]
392,"['Jh', 'As', 'Qc', '5d']",[],[]
393,[],[],[]
394,[],[],[]
395,[],[],[]
396,[],[],[]
397,"['2h', 'Kh', '4s', '3h']",[],[]
398,"['Kc', '2c', 'As', 'Kh']",[],[]
399,"['8d', 'Td', '9s', 'Ac', 'Js']",[],[]
400,[],[],[]
401,"['Ad', '8d', 'Qs', '4h']",[],[]
402,"['7s', '4d', '9s', 'Js', '3d']",[],[]
403,"['5c', 'Jd', 'Kd', '6h', '3c']",[],[]
404,[],[],[]
405,[],[],[]
406,[],[],[]
407,"['4s', '7c', '2s']",[],[]
408,"['Kh', '4c', '4d', '3s']",[],[]
409,"['3c', '9s', '7h']",[],[]
410,"['Jd', 'Qh', 'Jh', 'Kc', '6s']",[],[]
411,"['Ts', '9h', '3d', '4h', '7c']",[],[]
