,id,order,value
4629,871,Hero,6.0
4630,872,Hero,37.0
4632,874,Hero,115.0
4633,875,Hero,12.0
4635,877,Hero,2.0
4636,878,Hero,1.0
4638,880,Hero,2.0
4639,881,Hero,2.0
4641,883,Hero,40.0
4643,885,Hero,15.0
4645,887,Hero,138.0
4646,888,Hero,8.0
4647,889,Hero,1.0
4648,890,Hero,7.0
4652,894,Hero,2.0
4653,895,Hero,17.0
4654,896,Hero,2.0
4659,901,Hero,2.0
4660,902,Hero,1.0
4664,906,Hero,16.0
4665,907,Hero,56.0
4666,908,Hero,7.0
4667,909,Hero,1.0
4671,913,Hero,1.0
4672,914,Hero,2.0
4674,916,Hero,2.0
4676,918,Hero,2.0
4678,920,Hero,1.0
4683,925,Hero,6.0
4684,926,Hero,7.0
4688,930,Hero,1.0
4689,931,Hero,6.0
4690,932,Hero,2.0
4696,938,Hero,1.0
4697,939,Hero,13.0
4698,940,Hero,16.0
4699,941,Hero,118.0
4704,946,Hero,2.0
4705,947,Hero,1.0
4709,951,Hero,1.0
4710,952,Hero,2.0
4713,955,Hero,11.0
4714,956,Hero,15.0
4715,957,Hero,1.0
4716,958,Hero,1.0
4721,963,Hero,1.0
4722,964,Hero,2.0
4723,965,Hero,19.0
4725,967,Hero,2.0
4728,970,Hero,1.0
4729,971,Hero,30.0
4730,972,Hero,2.0
4731,973,Hero,137.0
4732,974,Hero,2.0
4735,977,Hero,1.0
4738,980,Hero,6.0
4739,981,Hero,1.0
4740,982,Hero,7.0
4741,983,Hero,6.0
4745,987,Hero,1.0
4747,989,Hero,6.0
4750,992,Hero,1.0
4751,993,Hero,2.0
4752,994,Hero,2.0
4754,996,Hero,6.0
4758,1000,Hero,1.0
4759,1001,Hero,2.0
4762,1004,Hero,21.0
4764,1006,Hero,1.0
4765,1007,Hero,2.0
4767,1009,Hero,2.0
4770,1012,Hero,1.0
4771,1013,Hero,13.0
4773,1015,Hero,2.0
4777,1019,Hero,1.0
4778,1020,Hero,2.0
4780,1022,Hero,187.0
4781,1023,Hero,1.0
4785,1027,Hero,1.0
4787,1029,Hero,2.0
4788,1030,Hero,7.0
4792,1034,Hero,1.0
4793,1035,Hero,2.0
4798,1040,Hero,1.0
4799,1041,Hero,1.0
4801,1043,Hero,6.0
4802,1044,Hero,11.0
4805,1047,Hero,1.0
4806,1048,Hero,2.0
4809,1051,Hero,4.0
4810,1052,Hero,168.0
4811,1053,Hero,2.0
4812,1054,Hero,1.0
4818,1060,Hero,2.0
4819,1061,Hero,1.0
4823,1065,Hero,2.0
4824,1066,Hero,6.0
4825,1067,Hero,1.0
4826,1068,Hero,2.0
4830,1072,Hero,2.0
4831,1073,Hero,1.0
4833,1075,Hero,2.0
4836,1078,Hero,2.0
4837,1079,Hero,7.0
