,id,gameTurn,player,value
19373,583,PREFLOP,Hero,2.0
19374,584,PREFLOP,Hero,1.0
19375,585,PREFLOP,Hero,31.0
19380,590,PREFLOP,Hero,4.0
19382,592,PREFLOP,Hero,1.0
19385,595,PREFLOP,Hero,21.0
19386,596,PREFLOP,Hero,2.0
19387,597,PREFLOP,Hero,7.0
19389,599,PREFLOP,Hero,2.0
19390,600,PREFLOP,Hero,6.0
19391,601,PREFLOP,Hero,14.0
19394,604,PREFLOP,Hero,2.0
19396,606,PREFLOP,Hero,6.0
19399,609,PREFLOP,Hero,1.0
19400,610,PREFLOP,Hero,2.0
19403,613,PREFLOP,Hero,2.0
19405,615,PREFLOP,Hero,4.0
19406,616,PREFLOP,Hero,1.0
19410,620,PREFLOP,Hero,4.0
19411,621,PREFLOP,Hero,1.0
19412,622,PREFLOP,Hero,13.0
19417,627,PREFLOP,Hero,2.0
19418,628,PREFLOP,Hero,1.0
19422,632,PREFLOP,Hero,1.0
19423,633,PREFLOP,Hero,2.0
19424,634,PREFLOP,Hero,2.0
19429,639,PREFLOP,Hero,1.0
19430,640,PREFLOP,Hero,7.0
19431,641,PREFLOP,Hero,2.0
19435,645,PREFLOP,Hero,7.0
19436,646,PREFLOP,Hero,1.0
19437,647,PREFLOP,Hero,10.0
19439,649,PREFLOP,Hero,2.0
19441,651,PREFLOP,Hero,1.0
19442,652,PREFLOP,Hero,4.0
19448,658,PREFLOP,Hero,1.0
19449,659,PREFLOP,Hero,2.0
19450,660,PREFLOP,Hero,7.0
19451,661,PREFLOP,Hero,7.0
19452,662,PREFLOP,Hero,1.0
19453,663,PREFLOP,Hero,2.0
19455,665,PREFLOP,Hero,6.0
19456,666,PREFLOP,Hero,6.0
19457,667,PREFLOP,Hero,2.0
19458,668,PREFLOP,Hero,1.0
19460,670,PREFLOP,Hero,2.0
19461,671,PREFLOP,Hero,6.0
19462,672,PREFLOP,Hero,2.0
19467,677,PREFLOP,Hero,10.0
19468,678,PREFLOP,Hero,2.0
19469,679,PREFLOP,Hero,6.0
19472,682,PREFLOP,Hero,7.0
19473,683,PREFLOP,Hero,1.0
19474,684,PREFLOP,Hero,1.0
19475,685,PREFLOP,Hero,4.0
19478,688,PREFLOP,Hero,6.0
19480,690,PREFLOP,Hero,7.0
19481,691,PREFLOP,Hero,2.0
19482,692,PREFLOP,Hero,7.0
19486,696,PREFLOP,Hero,1.0
19487,697,PREFLOP,Hero,7.0
19490,700,PREFLOP,Hero,34.0
19493,703,PREFLOP,Hero,1.0
19494,704,PREFLOP,Hero,2.0
19495,705,PREFLOP,Hero,1.0
19496,706,PREFLOP,Hero,7.0
19497,707,PREFLOP,Hero,6.0
19501,711,PREFLOP,Hero,1.0
19502,712,PREFLOP,Hero,7.0
19505,715,PREFLOP,Hero,4.0
19508,718,PREFLOP,Hero,5.0
19509,719,PREFLOP,Hero,1.0
19513,723,PREFLOP,Hero,1.0
19514,724,PREFLOP,Hero,2.0
19516,726,PREFLOP,Hero,4.0
19519,729,PREFLOP,Hero,7.0
19520,730,PREFLOP,Hero,2.0
19521,731,PREFLOP,Hero,1.0
19524,734,PREFLOP,Hero,6.0
19525,735,PREFLOP,Hero,6.0
19526,736,PREFLOP,Hero,1.0
19528,738,PREFLOP,Hero,2.0
19530,740,PREFLOP,Hero,2.0
19532,742,PREFLOP,Hero,1.0
19533,743,PREFLOP,Hero,2.0
19537,747,PREFLOP,Hero,4.0
19539,749,PREFLOP,Hero,1.0
19540,750,PREFLOP,Hero,2.0
19543,753,PREFLOP,Hero,5.0
19545,755,PREFLOP,Hero,1.0
19548,758,PREFLOP,Hero,1.0
19550,760,PREFLOP,Hero,1.0
19553,763,PREFLOP,Hero,4.0
19556,766,PREFLOP,Hero,1.0
19557,767,PREFLOP,Hero,2.0
19561,771,PREFLOP,Hero,7.0
19562,772,PREFLOP,Hero,2.0
19566,776,PREFLOP,Hero,6.0
19567,777,PREFLOP,Hero,9.0
19568,778,PREFLOP,Hero,2.0
19573,783,PREFLOP,Hero,1.0
19574,784,PREFLOP,Hero,4.0
19575,785,PREFLOP,Hero,4.0
19577,787,PREFLOP,Hero,6.0
19578,788,PREFLOP,Hero,2.0
19579,789,PREFLOP,Hero,2.0
19581,791,PREFLOP,Hero,1.0
19585,795,PREFLOP,Hero,7.0
19586,796,PREFLOP,Hero,1.0
19587,797,PREFLOP,Hero,7.0
19591,801,PREFLOP,Hero,2.0
19592,802,PREFLOP,Hero,6.0
19593,803,PREFLOP,Hero,1.0
19594,804,PREFLOP,Hero,13.0
19596,806,PREFLOP,Hero,6.0
19598,808,PREFLOP,Hero,1.0
19599,809,PREFLOP,Hero,1.0
19600,810,PREFLOP,Hero,5.0
19603,813,PREFLOP,Hero,1.0
19604,814,PREFLOP,Hero,1.0
19609,819,PREFLOP,Hero,1.0
19610,820,PREFLOP,Hero,2.0
19611,821,PREFLOP,Hero,2.0
19616,826,PREFLOP,Hero,1.0
19617,827,PREFLOP,Hero,6.0
19622,832,PREFLOP,Hero,1.0
19623,833,PREFLOP,Hero,2.0
19628,838,PREFLOP,Hero,4.0
19629,839,PREFLOP,Hero,2.0
19630,840,PREFLOP,Hero,1.0
19632,842,PREFLOP,Hero,4.0
19634,844,PREFLOP,Hero,1.0
19635,845,PREFLOP,Hero,1.0
19638,848,PREFLOP,Hero,4.0
19641,851,PREFLOP,Hero,1.0
19642,852,PREFLOP,Hero,2.0
19643,853,PREFLOP,Hero,30.0
19644,854,PREFLOP,Hero,9.0
19645,855,PREFLOP,Hero,6.0
19648,858,PREFLOP,Hero,7.0
19649,859,PREFLOP,Hero,1.0
19653,863,PREFLOP,Hero,6.0
19654,864,PREFLOP,Hero,7.0
19655,865,PREFLOP,Hero,2.0
19660,870,PREFLOP,Hero,6.0
19661,871,PREFLOP,Hero,6.0
19662,872,PREFLOP,Hero,7.0
19664,874,PREFLOP,Hero,7.0
19665,875,PREFLOP,Hero,6.0
19667,877,PREFLOP,Hero,2.0
19668,878,PREFLOP,Hero,1.0
19670,880,PREFLOP,Hero,2.0
19671,881,PREFLOP,Hero,2.0
19673,883,PREFLOP,Hero,4.0
19675,885,PREFLOP,Hero,7.0
19677,887,PREFLOP,Hero,31.0
19678,888,PREFLOP,Hero,4.0
19679,889,PREFLOP,Hero,1.0
19680,890,PREFLOP,Hero,7.0
19684,894,PREFLOP,Hero,2.0
19685,895,PREFLOP,Hero,6.0
19686,896,PREFLOP,Hero,2.0
19691,901,PREFLOP,Hero,2.0
19692,902,PREFLOP,Hero,1.0
19696,906,PREFLOP,Hero,7.0
19697,907,PREFLOP,Hero,19.0
19698,908,PREFLOP,Hero,4.0
19699,909,PREFLOP,Hero,1.0
19703,913,PREFLOP,Hero,1.0
19704,914,PREFLOP,Hero,2.0
19706,916,PREFLOP,Hero,2.0
19708,918,PREFLOP,Hero,2.0
19710,920,PREFLOP,Hero,1.0
19715,925,PREFLOP,Hero,6.0
19716,926,PREFLOP,Hero,7.0
19720,930,PREFLOP,Hero,1.0
19721,931,PREFLOP,Hero,6.0
19722,932,PREFLOP,Hero,2.0
19728,938,PREFLOP,Hero,1.0
19729,939,PREFLOP,Hero,13.0
19730,940,PREFLOP,Hero,16.0
19731,941,PREFLOP,Hero,6.0
19736,946,PREFLOP,Hero,2.0
19737,947,PREFLOP,Hero,1.0
19741,951,PREFLOP,Hero,1.0
19742,952,PREFLOP,Hero,2.0
19745,955,PREFLOP,Hero,6.0
19746,956,PREFLOP,Hero,7.0
19747,957,PREFLOP,Hero,1.0
19748,958,PREFLOP,Hero,1.0
19753,963,PREFLOP,Hero,1.0
19754,964,PREFLOP,Hero,2.0
19755,965,PREFLOP,Hero,7.0
19757,967,PREFLOP,Hero,2.0
19760,970,PREFLOP,Hero,1.0
19761,971,PREFLOP,Hero,7.0
19762,972,PREFLOP,Hero,2.0
19763,973,PREFLOP,Hero,30.0
19764,974,PREFLOP,Hero,2.0
19767,977,PREFLOP,Hero,1.0
19770,980,PREFLOP,Hero,6.0
19771,981,PREFLOP,Hero,1.0
19772,982,PREFLOP,Hero,7.0
19773,983,PREFLOP,Hero,6.0
19777,987,PREFLOP,Hero,1.0
19779,989,PREFLOP,Hero,6.0
19782,992,PREFLOP,Hero,1.0
19783,993,PREFLOP,Hero,2.0
19784,994,PREFLOP,Hero,2.0
19786,996,PREFLOP,Hero,6.0
19790,1000,PREFLOP,Hero,1.0
19791,1001,PREFLOP,Hero,2.0
19794,1004,PREFLOP,Hero,6.0
19796,1006,PREFLOP,Hero,1.0
19797,1007,PREFLOP,Hero,2.0
19799,1009,PREFLOP,Hero,2.0
19802,1012,PREFLOP,Hero,1.0
19803,1013,PREFLOP,Hero,4.0
19805,1015,PREFLOP,Hero,2.0
19809,1019,PREFLOP,Hero,1.0
19810,1020,PREFLOP,Hero,2.0
19812,1022,PREFLOP,Hero,7.0
19813,1023,PREFLOP,Hero,1.0
19817,1027,PREFLOP,Hero,1.0
19819,1029,PREFLOP,Hero,2.0
19820,1030,PREFLOP,Hero,7.0
19824,1034,PREFLOP,Hero,1.0
19825,1035,PREFLOP,Hero,2.0
19830,1040,PREFLOP,Hero,1.0
19831,1041,PREFLOP,Hero,1.0
19833,1043,PREFLOP,Hero,6.0
19834,1044,PREFLOP,Hero,6.0
19837,1047,PREFLOP,Hero,1.0
19838,1048,PREFLOP,Hero,2.0
19841,1051,PREFLOP,Hero,2.0
19842,1052,PREFLOP,Hero,21.0
19843,1053,PREFLOP,Hero,2.0
19844,1054,PREFLOP,Hero,1.0
19850,1060,PREFLOP,Hero,2.0
19851,1061,PREFLOP,Hero,1.0
19855,1065,PREFLOP,Hero,2.0
19856,1066,PREFLOP,Hero,6.0
19857,1067,PREFLOP,Hero,1.0
19858,1068,PREFLOP,Hero,2.0
19862,1072,PREFLOP,Hero,2.0
19863,1073,PREFLOP,Hero,1.0
19865,1075,PREFLOP,Hero,2.0
19868,1078,PREFLOP,Hero,2.0
19869,1079,PREFLOP,Hero,7.0
19870,1080,PREFLOP,Hero,1.0
19873,1083,PREFLOP,Hero,1.0
19874,1084,PREFLOP,Hero,6.0
19880,1090,PREFLOP,Hero,7.0
19881,1091,PREFLOP,Hero,1.0
19885,1095,PREFLOP,Hero,1.0
19887,1097,PREFLOP,Hero,4.0
19888,1098,PREFLOP,Hero,7.0
19890,1100,PREFLOP,Hero,2.0
19891,1101,PREFLOP,Hero,1.0
19892,1102,PREFLOP,Hero,2.0
19896,1106,PREFLOP,Hero,6.0
19898,1108,PREFLOP,Hero,7.0
19899,1109,PREFLOP,Hero,2.0
19904,1114,PREFLOP,Hero,2.0
19906,1116,PREFLOP,Hero,1.0
19907,1117,PREFLOP,Hero,1.0
19908,1118,PREFLOP,Hero,18.0
19911,1121,PREFLOP,Hero,2.0
19912,1122,PREFLOP,Hero,6.0
19916,1126,PREFLOP,Hero,1.0
19917,1127,PREFLOP,Hero,2.0
19920,1130,PREFLOP,Hero,5.0
19923,1133,PREFLOP,Hero,1.0
19924,1134,PREFLOP,Hero,2.0
19926,1136,PREFLOP,Hero,17.0
19928,1138,PREFLOP,Hero,2.0
19929,1139,PREFLOP,Hero,10.0
19931,1141,PREFLOP,Hero,15.0
19933,1143,PREFLOP,Hero,5.0
19935,1145,PREFLOP,Hero,2.0
19936,1146,PREFLOP,Hero,5.0
19937,1147,PREFLOP,Hero,2.0
19938,1148,PREFLOP,Hero,75.0
19943,1153,PREFLOP,Hero,2.0
19944,1154,PREFLOP,Hero,5.0
19948,1158,PREFLOP,Hero,2.0
19950,1160,PREFLOP,Hero,17.0
19955,1165,PREFLOP,Hero,2.0
19956,1166,PREFLOP,Hero,2.0
19961,1171,PREFLOP,Hero,2.0
19962,1172,PREFLOP,Hero,5.0
19963,1173,PREFLOP,Hero,50.0
19965,1175,PREFLOP,Hero,5.0
19966,1176,PREFLOP,Hero,2.0
19967,1177,PREFLOP,Hero,20.0
19973,1183,PREFLOP,Hero,2.0
19974,1184,PREFLOP,Hero,17.0
19978,1188,PREFLOP,Hero,17.0
19979,1189,PREFLOP,Hero,2.0
19980,1190,PREFLOP,Hero,5.0
19986,1196,PREFLOP,Hero,2.0
19987,1197,PREFLOP,Hero,5.0
19988,1198,PREFLOP,Hero,15.0
19989,1199,PREFLOP,Hero,15.0
19991,1201,PREFLOP,Hero,10.0
19993,1203,PREFLOP,Hero,2.0
19994,1204,PREFLOP,Hero,2.0
19999,1209,PREFLOP,Hero,2.0
20000,1210,PREFLOP,Hero,5.0
20003,1213,PREFLOP,Hero,15.0
20004,1214,PREFLOP,Hero,15.0
20007,1217,PREFLOP,Hero,2.0
20012,1222,PREFLOP,Hero,5.0
20013,1223,PREFLOP,Hero,5.0
20016,1226,PREFLOP,Hero,15.0
20017,1227,PREFLOP,Hero,2.0
20023,1233,PREFLOP,Hero,2.0
20024,1234,PREFLOP,Hero,5.0
20028,1238,PREFLOP,Hero,17.0
20029,1239,PREFLOP,Hero,5.0
20030,1240,PREFLOP,Hero,2.0
20035,1245,PREFLOP,Hero,2.0
20036,1246,PREFLOP,Hero,5.0
20042,1252,PREFLOP,Hero,2.0
20043,1253,PREFLOP,Hero,5.0
20044,1254,PREFLOP,Hero,13.0
20045,1255,PREFLOP,Hero,30.0
20046,1256,PREFLOP,Hero,17.0
20048,1258,PREFLOP,Hero,15.0
20052,1262,PREFLOP,Hero,5.0
20053,1263,PREFLOP,Hero,2.0
20054,1264,PREFLOP,Hero,17.0
20056,1266,PREFLOP,Hero,10.0
20057,1267,PREFLOP,Hero,2.0
20058,1268,PREFLOP,Hero,5.0
20061,1271,PREFLOP,Hero,15.0
20063,1273,PREFLOP,Hero,2.0
20064,1274,PREFLOP,Hero,5.0
20070,1280,PREFLOP,Hero,15.0
20071,1281,PREFLOP,Hero,5.0
20073,1283,PREFLOP,Hero,17.0
20075,1285,PREFLOP,Hero,2.0
20076,1286,PREFLOP,Hero,15.0
20077,1287,PREFLOP,Hero,5.0
20078,1288,PREFLOP,Hero,15.0
20081,1291,PREFLOP,Hero,2.0
20082,1292,PREFLOP,Hero,5.0
20087,1297,PREFLOP,Hero,2.0
20088,1298,PREFLOP,Hero,17.0
20091,1301,PREFLOP,Hero,47.0
20094,1304,PREFLOP,Hero,17.0
20095,1305,PREFLOP,Hero,5.0
20100,1310,PREFLOP,Hero,5.0
20101,1311,PREFLOP,Hero,5.0
20102,1312,PREFLOP,Hero,5.0
20105,1315,PREFLOP,Hero,17.0
20106,1316,PREFLOP,Hero,2.0
20107,1317,PREFLOP,Hero,5.0
20113,1323,PREFLOP,Hero,5.0
20114,1324,PREFLOP,Hero,2.0
20116,1326,PREFLOP,Hero,5.0
20119,1329,PREFLOP,Hero,2.0
20120,1330,PREFLOP,Hero,5.0
20121,1331,PREFLOP,Hero,2.0
20125,1335,PREFLOP,Hero,15.0
20126,1336,PREFLOP,Hero,2.0
20127,1337,PREFLOP,Hero,2.0
20132,1342,PREFLOP,Hero,2.0
20133,1343,PREFLOP,Hero,5.0
20134,1344,PREFLOP,Hero,15.0
20135,1345,PREFLOP,Hero,15.0
20138,1348,PREFLOP,Hero,2.0
20139,1349,PREFLOP,Hero,5.0
20140,1350,PREFLOP,Hero,52.0
20144,1354,PREFLOP,Hero,2.0
20145,1355,PREFLOP,Hero,17.0
20150,1360,PREFLOP,Hero,2.0
20151,1361,PREFLOP,Hero,5.0
20156,1366,PREFLOP,Hero,25.0
20157,1367,PREFLOP,Hero,2.0
20158,1368,PREFLOP,Hero,17.0
20159,1369,PREFLOP,Hero,25.0
20161,1371,PREFLOP,Hero,15.0
20162,1372,PREFLOP,Hero,5.0
20167,1377,PREFLOP,Hero,2.0
20168,1378,PREFLOP,Hero,5.0
20169,1379,PREFLOP,Hero,5.0
20170,1380,PREFLOP,Hero,241.0
20171,1381,PREFLOP,Hero,17.0
20172,1382,PREFLOP,Hero,5.0
20173,1383,PREFLOP,Hero,15.0
20176,1386,PREFLOP,Hero,2.0
20177,1387,PREFLOP,Hero,17.0
20178,1388,PREFLOP,Hero,17.0
20179,1389,PREFLOP,Hero,15.0
20180,1390,PREFLOP,Hero,15.0
20181,1391,PREFLOP,Hero,15.0
20183,1393,PREFLOP,Hero,2.0
20184,1394,PREFLOP,Hero,2.0
20185,1395,PREFLOP,Hero,30.0
20186,1396,PREFLOP,Hero,1.0
20187,1397,PREFLOP,Hero,2.0
20189,1399,PREFLOP,Hero,6.0
20194,1404,PREFLOP,Hero,2.0
20195,1405,PREFLOP,Hero,1.0
20199,1409,PREFLOP,Hero,10.0
20200,1410,PREFLOP,Hero,2.0
20201,1411,PREFLOP,Hero,1.0
20205,1415,PREFLOP,Hero,2.0
20210,1420,PREFLOP,Hero,1.0
20211,1421,PREFLOP,Hero,2.0
20212,1422,PREFLOP,Hero,2.0
20213,1423,PREFLOP,Hero,1.0
20216,1426,PREFLOP,Hero,2.0
20220,1430,PREFLOP,Hero,7.0
20223,1433,PREFLOP,Hero,6.0
20225,1435,PREFLOP,Hero,1.0
20226,1436,PREFLOP,Hero,5.0
20232,1442,PREFLOP,Hero,2.0
20233,1443,PREFLOP,Hero,5.0
20237,1447,PREFLOP,Hero,2.0
20238,1448,PREFLOP,Hero,1.0
20239,1449,PREFLOP,Hero,15.0
20241,1451,PREFLOP,Hero,6.0
20242,1452,PREFLOP,Hero,2.0
